,Song_name,linkin-park
118,rebellion   ,"""I've seen the blood I've seen the broken The lost and the sights unseen I want a flood I want an ocean To wash my confusion clean I can't resolve this empty story I can't repair The damage done We are the fortunate ones Who've never faced opression's gun We are the fortunate ones Imitations of rebellion We acted it out We wear the colors Confined by the things we own We're not without We're like each other Pretending we're here alone And far away, they burn their buildings Right in the face of the damage done We are the fortunate ones Who've never faced opression's gun We are the fortunate ones Imitations of rebellion Rebellion Rebellion Rebellion REBELLION REBELLION WE LOST BEFORE THE START REBELLION REBELLION ONE BY ONE WE FALL APART WE FALL APART WE FALL APART WE FALL APART We are the fortunate ones Who've never faced opression's gun We are the fortunate ones Imitations of Imitations of We are the fortunate ones Who've never faced opression's gun We are the fortunate ones Imitations of Rebellion Rebellion Rebellion Rebellion"""
119,waiting for the end   ,"""Yeah, yo This is not the end, this is not the beginning Just a voice like a riot rocking every revision But you listen to the tone and the violent rhythm and Though the words sound steady, something's empty within'em We say yeah with fists flying up in the air Like we're holding onto something that's invisible there 'Cause we're living at the mercy of the pain and fear Until we dead it, forget it, let it all disappear"", ""Waiting for the end to come, wishing I had strength to stand This is not what I had planned It's out of my control Flying at the speed of light thoughts were spinning in my head So many things were left unsaid It's hard to let you go"", ""(Oh) I know what it takes to move on (Oh) I know how it feels to lie (Oh) All I want to do is trade this life for something new Holding on to what I haven't got"", ""Sitting in an empty room trying to forget the past This was never meant to last I wish it wasn't so"", ""(Oh) I know what it takes to move on (Oh) I know how it feels to lie (Oh) All I want to do is trade this life for something new Holding on to what I haven't got"", ""Yo, yo What was left when that fire was gone I thought it felt right but that right was wrong All caught up in the eye of the storm And trying to figure out what it's like moving on And I don't even know what kind of things I've said My mouth kept moving and my mind went dead so Picking up the pieces now where to begin The hardest part of ending is starting again"", ""All I want to do is trade this life for something new Holding on to what I haven't got"", ""This is not the end, this is not the beginning Just a voice like a riot rocking every revision (I'm holding on to what I haven't got) But you listen through the tone and the violent rhythm and Though the words sound steady, something empty's within 'em We say yeah with fists flying up in the air Like we're holding onto something that's invisible there (Holding on to what I haven't got) 'Cause we're living at the mercy of the pain and fear Until we dead it, forget it, let it all disappear."""
120,riff raff   ,"""Next message:"", ""Hey Mike What's up this is Ron Riff Raff seeing What's happening Just touching base Seeing how your Easter went Um just seeing if you're gonna See Joe sometime soon too Cause he's got my keyboard That i've been trying to get back I've been trying to call him And he hasn't been returning my messages I'm seeing what the best angle is To get him, get it back"""
121,issho ni   ,"""While pain and fear Will fall down on you We'll always be there You can't run away"", ""In the shadows of your dreams You don't understand what It means You look at your fate You know It's too late"", ""Chorous: Remember We're in this together We'll keep you in mind You're one of our kind"", ""When you look around You just want to run All hope has been gone You fall to the ground"", ""And in your darkest hour When you scream a night We'll bring you the light"", ""We hold your hand And stand by you Whatever you'll do We'll be with you"", ""When you look up Into the sky There is a star It's by your site"""
122,system   ,"""System System System"", ""You fell away What more can I say? The feeling's evolved I won't let it out"", ""I can't replace Your screaming face Feeling the sickness inside"", ""Why won't you die? Your blood in mine We'll be fine Then your body will be mine"", ""So many words Can't describe my face This feeling's evolved So soon to break out"", ""I can't relate To a happy state Feeling the blood run inside"", ""Why won't you die? Your blood in mine We'll be fine Then your body will be mine"", ""Why is everything so fucking hard for me? Keep me down to what you think I should pay Must you tempt me and provoke the ministry Keep on trying, I'm not done so easily"", ""(I will not die) Why is everything so fucking hard for me? (I will not die) Why is everything so fucking hard for me? (I will not die)"", ""Why won't you die? Your blood in mine We'll be fine Then your body will be mine"", ""Why won't you die? Your blood in mine We'll be fine Then your body will be mine"""
123,in the end remix 2   ,"""It starts with One thing I don't know why It doesn't even matter how hard you try Keep that in mind I designed this rhyme To explain in due time"", ""All I know Time is a valuable thing Watch it fly by as the pendulum swings Watch it count down to the end of the day The clock ticks life away"", ""It's so unreal Didn't look out below Watch the time go right out the window Trying to hold on, but didn't even know Or wasted it all just to watch you go"", ""I kept everything inside And even though I tried, it all fell apart What it meant to me will eventually be A memory of a time when"", ""I tried so hard and got so far But in the end it doesn't even matter I had to fall to lose it all But in the end it doesn't even matter"", ""One thing, I don't know why It doesn't even matter how hard you try Keep that in mind I designed this rhyme To remind myself how"", ""I tried so hard In spite of the way you were mocking me Acting like I was part of your property Remembering all the times you fought with me I'm surprised"", ""It got so far Things aren't the way they were before You wouldn't even recognize me anymore Not that you knew me back then But it all comes back to me in the end"", ""You kept everything inside And even though I tried, it all fell apart What it meant to me will eventually be A memory of a time when"", ""I tried so hard and got so far But in the end it doesn't even matter I had to fall to lose it all But in the end it doesn't even matter"", ""I've put my trust in you Pushed as far as I can go And for all this There's only one thing you should know"", ""I've put my trust in you Pushed as far as I can go And for all this There's only one thing you should know"", ""I tried so hard and got so far But in the end it doesn't even matter I had to fall to lose it all But in the end it doesn't even matter"""
124,jigga what faint   ,"""Uh, uh, jigga what? Uh, uh, jigga who? Uh, uh, jigga what? Uh, uh, jigga who? Uh, uh, jigga what? You gon' need a vocal in, right?"", ""Motherfuckers wanna act loco, hit 'em up, numerous Shots with the fo'-fo' Faggots wanna talk to po-po's, smoke 'em like cocoa Fuck rap, coke by the boatload, fuck dat"", ""On the run-by, gun high, one eye closed Left holes through some guy clothes Stop your bullshit, glock with the full clip Motherfuckers better duck when the fool spit"", ""One shot could make a nigga do a full flip See the nigga layin' shocked when the fool hit Hey ma, how you, know niggaz wanna buy you But see me I wanna fuck for free like Akinyele"", ""Here, this ride feel it inside your belly If it's tight get the K Y jelly All night get you wide up inside the telly Side to side 'til you say Jay-Z you're too much for me"", ""I am a little bit of loneliness A little bit of disregard Handful of complaints but I can't help the fact That everyone can see these scars"", ""I am what I want you to want, what I want you to feel But it's like no matter what I do, I can't convince you To just believe this is real"", ""So, I let go, watching you Turn your back like you always do Face away and pretend that I'm not I'll be here 'cause you're all that I got"", ""Got a condo with nuttin' but condoms in it The same place where the rhymes is invented So, all I do is rap sex, imagine how I stroke See, how I was flowin' on my last cassette?"", ""Rapid-fire like I'm blastin' a tec, never jam though Never get high, never run out of ammo Niggaz hatin' 'n' shit 'cause I slayed your bitch You know your favorite, I know it made you sick"", ""And now you're, actin' raw but you never had war Don't know how to carry your hoes, wanna marry your hoe Now she's mad at me, 'cause your majesty, just happened to be A pimp with a tragedy"", ""She wanted us to end 'cause I fucked with friends She gave me one more chance and I fucked her again I seen her tears as she busted in, I said,? Shit? There's a draft, shut the door, bitch, and come on in"", ""I am a little bit insecure a little unconfident 'Cause you don't understand I do what I can But sometimes I don't make sense"", ""I am what you never wanna say But I've never had a doubt It's like no matter what I do I can't convince you For once just to hear me out"", ""So, I let go watching you Turn your back like you always do Face away and pretend that I'm not I'll be here 'cause you're all that I've got"", ""(I can't feel) The way I did before Don't turn your back on me I won't be ignored"", ""(Time won't heal) This damage anymore Don't turn your back on me I won't be ignored"", ""No, hear me out now, you're gonna listen to me Like it or not, right now Hear me out now, you're gonna listen to me Like it or not, right now"", ""I can't feel the way I did before Don't turn your back on me I won't be ignored"", ""(I can't feel) The way I did before Don't turn your back on me I won't be ignored"", ""(Time won't heal) This damage anymore Don't turn your back on me I won't be ignored"", ""(I can't feel) Don't turn your back on me I won't be ignored"", ""(Time won't heal) Don't turn your back on me I won't be ignored"""
126,only girl   ,"""add lyrics here"""
127,consequence b   ,
128,the little things give you away   ,"""Water gray Through the windows, up the stairs Chilling rain Like an ocean, everywhere"", ""Don't want to reach for me, do you? I mean nothing to you The little things give you away And now there will be no mistaking The levees are breaking"", ""All you've ever wanted Was someone to truly look up to you And six feet under water, I do"", ""... Hope decays Generations, disappear Washed away"", ""As a nation, simply stares Don't want to reach for me, do you? I mean nothing to you The little things give you away But now there will be no mistaking"", ""The levees are breaking All you've ever wanted Was someone to truly look up to you"", ""And six feet under water, I do All you've ever wanted Was someone to truly look up to you"", ""And six feet underground now I Now I do ... (Solo)"", ""Oh oh oh oh Oh, oh Oh oh, oh oh Oh Little things give you away Little things give you away Little things give you away Little things give you away"", ""All you've ever wanted Was someone to truly look up to you All you've ever wanted Was someone to truly look up to you All you've ever wanted Was someone to truly look up to you All you've ever wanted Was someone to truly look up to you All you've ever wanted Was someone to truly look up to you Little things give you away Little things give you away"""
129,hold nothing back   ,"""You tried to find the reason why it all went away And you think of what you could have done different When you thought you were complete You opened up your eyes"", ""When you thought you had it all That's when you lost it If you want to hold on to everything You will fall"", ""You go around chasin things that disappear You can't get enough cause you want it all When you thought you were ok You opened up your eyes"", ""When you thought you had it all That's when you lost it If you want to hold on to everything You will fall"", ""When you thought you had it all That's when you lost it If you want to hold on to everything You will fall"", ""When you thought you had it all That's when you lost it If you want to hold on to everything You will fall"""
130,sometimes   ,"""Sometimes things just seem to fall apart  When you least expect them to Sometimes you want to pack up and leave behind All of them and all their smiles"", ""I don't know What to think anymore Maybe things will get better Maybe things will look brighter Maybe, Maybe, Maybe"", ""Sometimes people surprise you And people surprise me But I guess that's the price we pay For wanting so badly"", ""I don't know What to think anymore Maybe things will get better Maybe things will look brighter Maybe, Maybe, Maybe"", ""I don't know What to think anymore Maybe things will get better Maybe things will look brighter Maybe, Maybe, Maybe"", ""I don't know What to think anymore  Maybe things will get better Maybe things will look brighter Maybe, Maybe, Maybe"", ""Sometimes... Sometimes... Sometimes"""
131,vertical limitptsofathrty   ,"""Vertical Limit"", ""Yo...yo Forfeit the game before somebody else Takes you out of the frame and puts your name to shame Cover up your face you can't run the race The pace is too fast you just won't last"", ""You love the way, I look at you While taking pleasure in the awful things you put me through You take away if I give in My life, my pride is broken"", ""You like to think you're never wrong (You live what you've learn) You have to act like you're someone (You live what you've learn) You want someone to hurt like you (You live what you've learn) You want to share what you've been through (You live what you've learn)"", ""You love the things, I say I do The way I hurt myself again just to get back at you You take away when I give in My life, my pride is broken"", ""You like to think you're never wrong You live what you've learned) You have to act like you're someone (You live what you've learned) You want someone to hurt like you (You live what you've learned) You want to share what you've been through (You live what you've learned)"", ""Yo..yo Forfeit the game before somebody else Takes you out of the frame and puts your name to shame Cover up your face you can't run the race The pace is too fast you just won't last"", ""Forfeit the game before somebody else Takes you out of the frame and puts your name to shame Cover up your face you can't run the race The pace is too fast you just won't last"", ""You like to think you're never wrong (You live what you've learned) You have to act like you're someone (You live what you've learned) You want someone to hurt like you (You live what you've learned) You want to share what you've been through (You live what you've learned)"", ""You like to think you're never wrong (You live what you've learned) You have to act like you're someone (You live what you've learned) You want someone to hurt like you (You live what you've learned) You want to share what you've been through (You live what you've learned)"""
132,saturation   ,"""Let me tell you 'bout myself Some say I got a bad attitude Let me tell you 'bout myself Some say I got a lot to prove"", ""Let me tell you bout myself I'll do whatever you want I'll do what you ask me to I'll do what you tell me to do No!"", ""Strange love Be gone Be gone Gone"", ""Let me tell you 'bout myself Some say I got a long way to go Some say I'm going straight down Some say there's no where to go And this is what I say..."", ""Yeah, yeah Strange love Be gone Be gone Strange love Be gone Be gone"""
133,wthyou   ,"""SHUT UP! I woke up in a dream today To the cold and the static And I put my cold feet on the floor"", ""Forgot all about yesterday Remembering I'm pretending to be where I'm not anymore A little taste of hipocrisy And I'm left in the wake of the mistake Slow to react Even though you're so close to me You're still so distant And I can't bring you back It's true The way I feel"", ""Was promised by your face"", ""The sound of your voice Painted on my memories Even if you're not with me I'm with you"", ""You, now I see Keeping everything inside"", ""With You You, now I see Even when I close my eyes With you You, now I see Keeping everything inside With You You, now I see Even when I close my eyes"", ""I hit you and you hit me back We fall to the floor The rest of the day stands still"", ""Fine line between this and that But when things go wrong I pretend that the past isn't real I'm trapped in this memory And I'm left in the wake of the mistake Slow to react Even though you're so close to me You're still so distant"", ""And I can't bring you back It's true The way I feel Was promised by your face"", ""The sound of your voice"", ""Painted on my memories Even if you're not with me I'm with you You, now I see Keeping everything inside"", ""With You You, now I see Even when I close my eyes With you You, now I see Keeping everything inside"", ""With You You, now I see Even when I close my eyes No, I won't let you control my fate While I'm holding the wait of the world on my conscience No, I won't just sit here and wait"", ""While you wear your options You're making a fool of me No, you didn't dare try to say that you don't care And solemnly swear not to follow me there No, it ain't like me to beg on my knees Oh, please, oh, baby, please That's not how I'm doing things No, I'm not upset No, I'm not angry I know love is love, love Sometimes it pains me With or without you I'll always be with you You'll never forget me I'm keeping you with me"", ""No, I won't let you take me to the end of my rope While you burn and torture my soul No, I'm not your puppet And, no, no, no, I won't let you go"", ""No, no matter how far we've come I can't wait to see tomorrow No matter how far we've come, I"", ""I can't wait to see tomorrow With you You, now I see Keeping everything inside"", ""With You You, now I see Even when I close my eyes With you You, now I see Keeping everything inside With You You, now I see Even when I close my eyes"""
134,lost in the echo   ,"""Yeah, yo."", ""You were that, foundation, never gonna be another one, no. I followed, so taken, so conditioned I could never let go. Then sorrow, then sickness, then the shock when you flip it on me. So hollow, so vicious, so afraid I couldn't let myself see. That I could never be held, back up, no, I'll hold myself. Check the rep, yep, you know mine well, forget the rest, let them know my hell. Damn, I'm back yep, my soul ain't sell, kept respect up the vets stay their. Let the best be the tale they tell, that I was there saying."", ""And these promises broken, deep below, each word, gets lost in the echo. So, one last lie, I can see through, this time I, finally let you, go, go, go."", ""Test my will, test my heart, let me tell you how the odds gonna stack up. Y'all go hard, I go smart, how's it working out for y'all in the back, huh? I've seen that, frustration, been crossed cross, then lost and told no. And I've come back, unshaken, let down, I've lived and let go. So, you can let it be known, I don't hold back, I hold my own. I can't be mapped, I can't be cloned, I can't C-flat, it ain't my tone. I can't fall back, I came too far, hold myself up and love my scars. Let the bells ring wherever they are, 'cause I was there saying."", ""And these promises broken, deep below, each word, gets lost in the echo. So, one last lie, I can see through, this time I, finally let you, go, go, go, go!"", ""No, you can tell 'em all now, I don't back up, I don't back down. I don't fold up and I don't bow, I don't roll over, don't know how. I don't care, where the enemies are, can't be stopped, all I know, go hard. Won't forget how, I got this far and every time, saying."", ""And these promises broken, deep below, each word, gets lost in the echo. So, one last lie, I can see through, this time I, finally let you. Go, go, go (go, go, go), go, go, go (go, go, go)!"""
135,we made it   ,"""Together we made it We made it even though we had our backs Up against the wall See a nigga survived the worst"", ""But my life is glorious (uh!) But I know that I leaped every hurdle And I'm so victorious (uh!) Take a look I'm a symbol of greatness Now call a nigga Morpheus (yeah) As force securin' the win, but they Believe I'm so notorious (yeah) You know that I've been 'bout my bread Even though we rappin' now (yes) We used to live on the strip even though A nigga higher level trappin' now (oh!) Superseded everyone of my little struggles and (uh!) So your head never ever been an option (trust) A nigga paper long like rush hour traffic And I'm about to take the hood shoppin' (get it!) Together we made it (you see we did it niggas)"", ""We made it even though we had our backs Up against the wall (come on) Forever we waited (ah hah) And they told us we were never gonna Get it But we took it on the road (To the riches) on the road (To the ghetto) on the road on the road (Rise with me) on the road (Come and get it) on the road Yeah, yeah, yeah, yo"", ""When it all got started we were steadily Just getting rejected And it seemed like nothin' we could do would ever get us respected At best we were stressed at the worst They probably said we're pathetic Had all the pieces to that puzzle Just the way to connect it I was fighting through every rhyme Tightening up every line Never restin' the question if I Was out of my mind It finally came time to do it and let it die So we put the chips on the table and Told them to let it ride, sing it (yeah) Together we made it (you see we did it niggas)"", ""We made it even though we had our backs Up against the wall (come on) Forever we waited (ah hah) And they told us we were never gonna Get it But we took it on the road (To the riches) on the road (To the ghetto) on the road on the road (Rise with me) on the road (Come and get it) on the road Yeah, yeah, yeah, look"", ""In case you misunderstand exactly what I'm buildin'"", ""This shit that I can leave for My children's (children's) children's (children) Now on the wake up I smile, to see how far I've come (yeah) Fighting for sales when I'm stripped To negate the hustle from (yeah) From nights in jail on a bench using my muscles son (yeah) To countin' money like Dre and Jimmy and Russel was (yeah nigga) But now I live when I dream, you see we finally did it (oh!) Let's make a toast to the hustle Regardless how you get it, sing it Together we made it (you see we did it niggas)"", ""We made it even though we had our backs Up against the wall (come on) Forever we waited (ah hah) And they told us we were never gonna Get it But we took it on the road (To the riches) on the road (To the ghetto) on the road on the road (Rise with me) on the road (Come and get it) on the road"""
136,iridescent   ,"""When you were standing in the wake of devastation When you were waiting on the edge of the unknown And with the cataclysm raining down Insides crying \""Save me now\"" You were there, impossibly alone"", ""Do you feel cold and lost in desperation? You build up hope, but failure's all you've known Remember all the sadness and frustration And let it go... Let it go..."", ""And in a burst of light that blinded every angel As if the sky had blown the heavens into stars You felt the gravity of tempered grace Falling into empty space No one there to catch you in their arms"", ""Do you feel cold and lost in desperation? You build up hope, but failure's all you've known Remember all the sadness and frustration And let it go... Let it go..."", ""Do you feel cold and lost in desperation? You build up hope, but failure's all you've known Remember all the sadness and frustration And let it go... Let it go... Let it go... Let it go... Let it go..."", ""Do you feel cold and lost in desperation? You build up hope, but failure's all you've known Remember all the sadness and frustration And let it go... Let it go"""
137,wake album version   ,
138,canat hurt me   ,
139,robot boy   ,"""You say You're not gonna fight 'Cause no one will fight for you And You think There's not enough love And no one to give it to And"", ""You're sure You've hurt for so long You've got nothing left to lose So"", ""You say You're not gonna fight 'Cause no one will fight for you You say"", ""The weight of the world"", ""Has kept you from letting go And"", ""You think"", ""Compassion's a flaw And you'll never let it show And You're sure You've hurt in a way That no one will ever know But Some day The weight of the world Will give you the strength to go Hold on The weight of the world Will give you the strength to go So Hold on The weight of the world Will give you the strength to go So Hold on The weight of the world Will give you the strength to go Just Hold on The weight of the world Will give you the strength to go"""
140,leave out all the rest live from frankfurt 2008   ,
141,the messenger   ,"""When you feel you're alone Cut off from this cruel world Your instincts telling you to run Listen to your heart Those angel voices They'll sing to you, they'll be your guide back home"", ""When life leaves us blind Love keeps us kind It keeps us kind"", ""When you've suffered enough And your spirit is breaking You're growing desperate from the fight Remember you're loved and you always will be This melody will bring you right back home"", ""When life leaves us blind Love keeps us kind When life leaves us blind Love keeps us kind"", ""Oh, oh, oh, oh Oh, oh, oh, oh"""
142,chali   ,"""What's up? You've reached Mike Give me a detailed m\u00e2\u0080\u0094 Please enter your pass\u00e2\u0080\u0094 First message Yo, Mike This is Chali 2na, w'sup, man? I'm just trying to catch up with you, man, so we can go ahead and get this song on the roll, with a pot-n-a-d Haha, call me back, peace"""
143,slip   ,"""[Verse 1] In the centre of the silence, violent thoughts that you go through The thick smoke of flickerin' lights that brighten the room All the things that you wanted to say get lost and thrown away You can bait and hesitate to speak your mind Can't turn back when you cross the line Sometimes there's someone you know who just doesn't care Has to see you go to know you were there"", ""[Pre-Chorus] This is the sun behind the rain Even though sometimes I feel I can't stand another minute The maybe gun to run and then must race But I never look back when I'm beginnin' I know that, this is the sun behind the rain Even when sometimes I feel I can't stand another minute The maybe gun to run and then must race But I never look back when I'm beginnin'"", ""[Chorus] I know, all of this will soon, Be gone You don't, really have to prove, Them wrong"", ""[Verse 2] Sometimes you got no control of where you go Taken down a road you don't know And you feel so lost that you wanna hide your face You don't recognise the place you're in Sometimes the sun doesn't shine your way Sometimes the night doesn't turn to day Sometimes the lights so bright it burns through the night And keeps the darkness at bay"", ""[Pre-Chorus] This is the sun behind the rain Even though sometimes I feel I can't stand another minute The maybe gun to run and then must race But I never look back when I'm beginnin'"", ""I know that, this is the sun behind the rain Even when sometimes I feel I can't stand another minute The maybe gun to run and then must race But I never look back when I'm beginnin'"", ""[Chorus] I know, all of this will soon, Be gone You don't, really have to prove, Them wrong I know, soon enough you'll make, Them see You'll be, far away from them, With me"", ""[Bridge] Follow the link in the chain without a name Sealin' the light in the dark contains the rain Taking you away from the place you've been trapped Break all you know to bring it all back"", ""[Pre-Chorus] This is the sun behind the rain Even though sometimes I feel I can't stand another minute The maybe gun to run and then must race But I never look back when I'm beginnin' I know that, this is the sun behind the rain Even when sometimes I feel I can't stand another minute The maybe gun to run and then must race But I never look back when I'm beginnin'"", ""[Chorus] I know, all of this will soon, Be gone You don't, really have to prove, Them wrong I know, soon enough you'll make, Them see You'll be, far away from them, Alone-with-me!"""
144,monster himself   ,"""I am whom he cannot see I am who he shall not foresee I am monster himself"""
145,one more light   ,"""Should've stayed, where the signs I ignored Can I help you, not to hurt, anymore? Should've stayed, were there signs, I ignored? Can I help you, not to hurt, anymore? We saw brilliance, when the world, was asleep There are things that we can have, but can't keep"", ""If they say Who cares if one more light goes out? In the sky of a million stars It flickers, flickers Who cares when someone's time runs out? If a moment is all we are We're quicker, quicker Who cares if one more light goes out? Well I do"", ""The reminders, pull the floor from your feet In the kitchen, one more chair than you need, oh And you're angry, and you should be, it's not fair Just 'cause you can't see it, doesn't mean it, isn't there"", ""If they say Who cares if one more light goes out? In the sky of a million stars It flickers, flickers Who cares when someone's time runs out? If a moment is all we are We're quicker, quicker Who cares if one more light goes out? Well I do"", ""Who cares if one more light goes out? In the sky of a million stars It flickers, flickers Who cares when someone's time runs out? If a moment is all we are We're quicker, quicker Who cares if one more light goes out? Well I do Well I do"""
147,burberry   ,
148,what ive done croatian translation   ,
149,papercut   ,"""Why does it feel like night today? Somethin' in here's not right today Why am I so uptight today? Paranoia's all I got left I don't know what stressed me first Or how the pressure was fed But I know just what it feels like To have a voice in the back of my head It's like a face that I hold inside A face that awakes when I close my eyes A face watches every time I lie A face that laughs every time I fall (And watches everything) So I know that when it's time to sink or swim That the face inside is hearin' me Right underneath my skin"", ""It's like I'm paranoid lookin' over my back It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within It's like the face inside is right beneath my skin"", ""I know I've got a face in me Points out all my mistakes to me You've got a face on the inside too and Your paranoia's probably worse I don't know what set me off first But I know what I can't stand Everybody acts like the fact of the matter is I can't add up to what you can But everybody has a face that they hold inside A face that awakes when I close my eyes A face watches every time they lie A face that laughs every time they fall (And watches everything) So you know that when it's time to sink or swim That the face inside is watchin'you too Right inside your skin"", ""It's like I'm paranoid lookin' over my back It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within"", ""It's like the face inside is right beneath the skin It's like I'm paranoid lookin' over my back It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within"", ""It's like the face inside is right beneath my skin The face inside is right beneath your skin The face inside is right beneath your skin"", ""The face inside is right beneath your skin The sun goes down"", ""I feel the light betray me The sun goes down I feel the light betray me It's like I'm paranoid lookin' over my back"", ""It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within It's like the face inside is right beneath the skin It's like I'm paranoid lookin' over my back It's like a whirlwind inside of my head It's like I can't stop what I'm hearing within It's like I can't stop what I'm hearing within It's like I can't stop what I'm hearing within It's like the face inside is right beneath my skin"""
150,blackbirds   ,"""Drop that get up Take to the streets better lock that kid up Face full of teeth when he hock that spit up Pacing the beat like a beast Rocking the block on repeat Speak from the cut like a rush of blood Paint red on the sleeves of the ones you love Lay the sick ones down and the bells will ring Put pennies on the eyes let the dead men sing"", ""I shiver and shake the warm air cold I'm alone on my own In every mistake I dig this hole Through my skin and bones"", ""It's harder starting over Than never to have changed"", ""With Blackbirds following me I'm digging out my grave They close in, swallowing me The pain, it comes in waves I'm getting back what I gave"", ""I sweat through the sheet as daylight fades As I waste away It traps me inside mistakes I've made That's the price I pay"", ""It's harder starting over Than never to have changed"", ""With Blackbirds following me I'm digging out my grave They close in, swallowing me The pain, it comes in waves I'm getting back what I gave"", ""I drop to the floor like I did before Stop watching I'm coughing I can't be more What I want and what I need are at constant war Like a well full of poison a rotten core The blood goes thin the fever stings And I shake from the hell that the habits bring Let the sick ones down the bells will ring Put pennies on the eyes let the dead men sing"", ""With Blackbirds following me I'm digging out my grave They close in, swallowing me The pain, it comes in waves I'm getting back what I gave"", ""I'm getting back what I gave I'm getting back what I gave"""
151,morei sky   ,"""I've lived through things I cannot say Back then we dreamt of yesterday It seemed as if the only way And now we look for hope and pray"", ""() If I had a second chance I'd make amends Only to find myself Losing in the end"", ""It came up from the deepest sea God gave it life and reason to be His Shadow rose above the highest tree And still his face we could not see"", ""() Repeat first verse ()"""
152,all for nothing   ,"""Yeah Uh So whatcha waiting for? Anticipating more Why you debate what it can take to instigate a war? Yeah I've been hating on the time I wasn't hated for There's nothing they can fucking say they didn't say before But you could never see it, your battle's not mine Wanna skate and play it safe but this is take a shot time You're waiting for a purpose, I already got mine While you tell me step to it like 1, 2, 3, 4!"", ""And if I do what you demand. You say You'll let me understand. You say You're gonna hold me to your word And if I sell myself away. You say I\""ll have no debt to pay. You say I'm gonna get what I deserve Woah"", ""You word Obey My debt Repaid Our trust Betrayed All for nothing All for nothing"", ""Came back, there's no other way to say it So let me break this fucker down for ya I really don't know ya You're talk, but let me show you where to put your paranoia Your're joking I don't have a half a sucker bone to throw yah I'm disgusted wonder what's gonna make you tuck your tail below ya And no I'm not your soldier, I'm not taking any orders I'm a five star general infantry controller, need a lesson, let me show you. Have you checking your composure while I make you step to it like 1, 2, 3, 4!"", ""And if I do what you demand. You say You'll let me understand. You say You're gonna hold me to your word And if I sell myself away. You say I\""ll have no debt to pay. You say I'm gonna get what I deserve Woah"", ""And if I do what you demand. You'll let me understand."", ""You word Obey My debt Repaid Our trust Betrayed All for nothing All for nothing"", ""All for nothing All for nothing Oh oh oh oh"""
153,rnwy   ,"""Grafitti skies, skies... I don't think y'all ready Yo, I don't think ya'll ready"", ""Grafitti decorations under a sky of grey This constant apprehension still giving me away The lessons I've forgotten In spite of all I've learned Now I find myself in question (Point the finger at me again) Guilty by association (Point the finger at me again)"", ""I wanna runaway (I wanna runaway) I wanna know the truth (I wanna know the truth) I wanna know the answers (I wanna know the answers) I wanna shut the door (And open up my mind) And open up my mind (And open up my mind)"", ""Paperbags and angry voices under a sky of grey This constant apprehension won't seem to go away All my talk of starting over These words were never true Now I find myself in question (Point the finger at me again) I'm guilty by association (Point the finger at me again)"", ""I wanna runaway (I wanna runaway) I wanna know the truth (I wanna know the truth) I wanna know the answers (I wanna know the answers) I wanna shut the door (And open up my mind) And open up my mind (And open up my mind)"", ""Gonna runaway, gonna runaway Gonna runaway, gonna runaway Uh, y'all not ready"", ""Hey, yo I don't think y'all ready for what I'm about to do Y'all new-skool dudes ain't even got no clue How dare you forget about Bam and Zulu Two urban jazz DJ's, they paved the way Let me spit it for y'all who said I wasn't going to make it Every time I blaze it, y'all the first to hate it My team reigns supreme to stay strong Every 2 series son, they scared to put us on Can't get with the high prince, get off your hiatus Too many of y'all is dyin' for us so I gotta blaze it I'm still reppin' BK, Brooklyn D and on Hell fire and family alienation Banging hits in the backyard Out on the episode I'm a little kid named Phoenix Orion"", ""I wanna runaway (I wanna runaway) I wanna know the truth (I wanna know the truth) I wanna know the answers (I wanna know the answers) I wanna shut the door (And open up my mind) And open up my mind (And open up my mind)"""
154,no more sorrow   ,"""Are you lost... in your lies? Do you tell yourself I don't realize? Your crusade's a disguise Replaced freedom with fear, you trade money for lives I'm aware of what you've done No, no more sorrow! I've paid for your mistakes! Your time is borrowed! Your time has come to be replaced! I see pain, I see need I see liars and thieves abuse power with greed I had hope, I believed But I'm beginning to think that I've been deceived You will pay for... what you've done! No, no more sorrow! I've paid for your mistakes! Your time is borrowed! Your time has come to be replaced! Thieves and hypocrites! Thieves and hypocrites! Thieves and hypocrites! No, no more sorrow! I've paid for your mistakes! Your... time is borrowed! Your time has come to be replaced! No, no more sorrow! I've paid for your mistakes! Your time is borrowed! Your time has come to be... replaced! Your time has come to be... replaced! Your time has come to be... erased!"""
